Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Costa Rica,88817131.81,92564694.85,93216643.36,96209079.56,86780649.92,115652830.1,123366037.6,135396226.3,139501886.7,170973584.8,202249056.4,262140611,272750565.2,366840477.4,445611601.6,424352392.1,570863477.3,745670945.2,826592765.6,1021551925,1283943991,761602083,643473534.1,760944984.1,830908834.4,1014649505,1114014337,1229404174,1129027576,1396037480,1560594276,1324249258,1749935222,2015162335,2178184937,2262670321,2072976402,2529785100,3101095903,3004897026,3105823071,3213685611,3296917231,3275598195,3522980135,3800536644,4789717400,6260577868,7580537376,5673480099,7469178976,8573125596,9377465211,9981274586,9999194023,10641405351,11115578797,10932147358,11466497269,10348109482,10085036679,12639673628,12726312775
Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,1476022100,1793453100,2109814481,2588439083,2953231463,3381257195,3583516565,3682578554,4608346753,5047075342,5231029722,5268913976,5363843765,5625916414,6130377234,6592667103,6187691985,5761906143,6596762269,7114390235,7104782181,3403219326,1445510405,1430247703,1491298514,2134430103,3977000000,3793200000,3398000000,3363200000,3821700000,3632300000,3089100000,3052900000,3362100000,4594700000,5727777778,5526111111,8357870370,6287037037,6000000000,5844000000,6272000000,7247000000,6139000000,8181000000,8735000000,9974000000,12040000000,11889000000,10601000000,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195195531,1078659218,1024357542,881899441.3,895139664.8,945139664.8,1004748603,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,110373758.8,153037362.4,256368405,358773977.9,499075329.3,814631675,705840585.8,684915289.8,650560956.6,765378464.6,737387811.9,801208587.6,945870158.3,1174797491,1409747811,1512145070,1491143056,1983715254,1587449706,1894716905,2641205692,2428914680,2299819840,1955490950,2093483279,2055005655,1860686703,2336701923,2862301246,3822746250,4137977863,4938806925,5843874897,8062702505,5934915254,6182351080,5217051072,4047131854,3089044513,3141087327,2714249093,3654142870,4736837899,4937113776,5149686856,5033257341,5048447770,5754043095
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000421155,6712268345,8918695048,10915746245,14382871510,20552083595,24331332754,20505850713,20670659363,19438489409,19750317910,21780698006,25166044218,29720479280,35974474460,40527533227,47477331484,61608827056,74197383579,55594030321,57201261896,62420219354,55054577959,52949315938,54454486330,52617754967,51077792818,57656005362,67720278111,69721069673,64331017546,85151112102,95986684934
Germany,,,,,,,,,,,70588334313,79519102214,91711885543,1.17E+11,1.18E+11,1.20E+11,1.33E+11,1.51E+11,1.89E+11,2.42E+11,2.59E+11,1.97E+11,1.80E+11,1.84E+11,1.72E+11,1.69E+11,2.42E+11,2.93E+11,3.26E+11,3.39E+11,4.40E+11,4.82E+11,5.38E+11,4.96E+11,5.37E+11,6.29E+11,5.81E+11,5.17E+11,5.38E+11,5.27E+11,4.77E+11,4.47E+11,4.32E+11,5.11E+11,5.58E+11,5.55E+11,6.16E+11,7.32E+11,8.03E+11,6.33E+11,6.82E+11,8.11E+11,6.95E+11,7.49E+11,7.92E+11,6.63E+11,6.93E+11,7.74E+11,8.71E+11,8.60E+11,8.59E+11,9.92E+11,1.01E+12
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1161825452,63218098.03,-95664665.97,571421419,597623913.9,81197442.62,70473179.31,29115513.64,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74840740.74,81918518.52,96670370.37,94788888.89,90762962.96,83096296.3,72688888.89,68237037.04,78640740.74,71937037.04,87625925.93,87766666.67,181433333.3,,,,
Denmark,,,,,,,3059802463,3284859213,3382517730,4167853596,4567032129,4945503983,6204739285,8462310275,9201323075,9095151056,11328542067,12150479955,13965067981,16267404453,14313849359,10527725936,11038181566,11136978329,12177291436,13847398871,20949174834,24094989901,24332151630,23969365439,28753394153,27304395167,28961406806,24884183033,29256403965,38271531436,37646171149,38286018979,40097625766,37172701771,36691808643,35965931128,38126102307,45629660244,54526506788,58728704783,68736461171,80743315707,84749949761,61320099424,58204015416,65797346289,63684092344,67654534725,70920023163,62445104478,68182232598,73242865650,80643580746,75720674915,80504277731,91486046688,97125455241
Dominican Republic,84800000,58000000,98100000,150700000,187900000,86800000,156000000,160700000,165900000,223100000,284376000,297600000,391680000,518132000,683067000.3,882166000.9,881732000.9,999478001,1130184001,1394225001,1665300002,1716700002,1590500002,1822224772,2072748940,876339857.5,1198216920,1331071658,1247873118,1722716006,1651679129,1635586772,2180798504,2584570400,3076037917,3335715828,3658223730,4424137739,6083256241,6001840133,6779529421,6853773292,7315373740,4154175734,4604516719,8863200511,10199853110,12464819198,14448196386,11376817546,14208299100,14522679409,14743030945,14243684700,15527262772,16682561986,17391015848,17977068349,22069586957,23127858120,20012084500,29547286344,39479615483
Algeria,1148945667,1148945667,708923933.9,782260899.6,635586968.3,708923933.9,526629208.1,789943812.1,1073513325,1377337929,1782437320,1791298218,2321161654,3507890497,5286132824,7064349303,7685241216,9839010796,13767367058,14143843842,16547446668,16404806017,16854696654,18334446943,18882785202,20028641513,21372443654,18392732259,16332005630,16731159192,17739308174,14556478069,14764558663,14529624287,12797048429,12908739670,12053846682,10814415339,13082251078,12767050138,12910758567,14694058070,17398957605,20590341944,28384637375,32668853746,35307673195,46525896058,63866091281,64319658075,66788657989,76111394330,81852336056,91057083172,97554168879,84285392700,81261730605,82571441917,82331999524,76759336948,63863419806,62001534083,65663490267
East Asia & Pacific (excluding high income),28533613384,14303163189,9901311334,14471183236,18622973304,24115123797,29599221985,22650354231,23408037403,26630485409,39420960935,43511714336,46568083123,61240138412,67322916862,79979966961,75110958610,88456033423,89696060923,1.03E+11,1.13E+11,1.17E+11,1.22E+11,1.37E+11,1.46E+11,1.72E+11,1.65E+11,1.56E+11,1.90E+11,2.12E+11,2.25E+11,2.50E+11,2.90E+11,3.36E+11,3.95E+11,4.87E+11,5.50E+11,5.37E+11,4.54E+11,4.74E+11,5.24E+11,5.93E+11,6.64E+11,8.17E+11,9.97E+11,1.13E+12,1.34E+12,1.73E+12,2.31E+12,2.67E+12,3.35E+12,4.13E+12,4.62E+12,5.12E+12,5.47E+12,5.44E+12,5.48E+12,6.05E+12,6.91E+12,7.03E+12,7.13E+12,8.56E+12,
Early-demographic dividend,,,29691752412,31065550920,38294962336,43096409500,40226962367,42900139754,46442089098,52723318225,59474694992,64714899482,71933636334,86941920494,1.42E+11,1.57E+11,1.87E+11,2.16E+11,2.41E+11,2.53E+11,3.28E+11,3.68E+11,3.31E+11,3.40E+11,3.32E+11,3.06E+11,3.06E+11,3.08E+11,3.40E+11,3.51E+11,4.13E+11,4.32E+11,4.89E+11,5.32E+11,5.68E+11,5.91E+11,6.28E+11,6.89E+11,6.83E+11,7.02E+11,7.37E+11,7.28E+11,7.20E+11,8.25E+11,1.03E+12,1.22E+12,1.47E+12,1.85E+12,2.08E+12,1.97E+12,2.45E+12,2.77E+12,2.87E+12,2.82E+12,2.94E+12,2.78E+12,2.81E+12,3.10E+12,3.16E+12,3.12E+12,2.80E+12,3.35E+12,3.79E+12
East Asia & Pacific,90331710653,56966061139,44413757625,60253709451,72463889791,90498661630,1.05E+11,92499569563,98669498356,1.14E+11,1.52E+11,1.61E+11,1.97E+11,2.76E+11,3.16E+11,3.14E+11,3.34E+11,3.94E+11,5.10E+11,5.77E+11,6.10E+11,6.56E+11,6.25E+11,6.48E+11,6.91E+11,7.39E+11,9.59E+11,1.14E+12,1.47E+12,1.56E+12,1.65E+12,1.85E+12,1.96E+12,2.14E+12,2.35E+12,2.70E+12,2.65E+12,2.46E+12,2.05E+12,2.21E+12,2.43E+12,2.22E+12,2.19E+12,2.48E+12,2.86E+12,3.08E+12,3.31E+12,3.77E+12,4.53E+12,4.61E+12,5.61E+12,6.69E+12,7.27E+12,7.58E+12,7.89E+12,7.66E+12,7.81E+12,8.50E+12,9.48E+12,9.56E+12,9.60E+12,1.12E+13,
Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29E+11,2.57E+11,2.50E+11,2.77E+11,2.51E+11,2.11E+11,1.68E+11,1.79E+11,1.67E+11,1.69E+11,1.38E+11,1.09E+11,1.40E+11,1.37E+11,1.57E+11,2.08E+11,2.90E+11,3.74E+11,4.86E+11,6.65E+11,8.42E+11,5.24E+11,7.12E+11,9.46E+11,9.94E+11,1.03E+12,9.38E+11,7.18E+11,6.94E+11,8.03E+11,7.76E+11,7.72E+11,7.57E+11,9.02E+11,1.04E+12
Europe & Central Asia,,,,,,,,,,,3.00E+11,3.28E+11,3.85E+11,5.09E+11,5.79E+11,5.98E+11,6.47E+11,7.10E+11,8.40E+11,1.06E+12,1.21E+12,9.75E+11,9.28E+11,8.81E+11,8.52E+11,8.79E+11,1.21E+12,1.51E+12,1.77E+12,1.87E+12,2.24E+12,2.25E+12,2.31E+12,1.96E+12,2.07E+12,2.41E+12,2.40E+12,2.26E+12,2.38E+12,2.36E+12,2.28E+12,2.25E+12,2.39E+12,2.90E+12,3.42E+12,3.69E+12,4.18E+12,5.07E+12,5.53E+12,4.17E+12,4.45E+12,5.12E+12,4.71E+12,4.85E+12,4.97E+12,4.33E+12,4.37E+12,4.77E+12,5.15E+12,5.21E+12,5.01E+12,5.81E+12,6.06E+12
Ecuador,525942053.1,445918290.4,360296801.5,436388473.2,552894083.4,581601796.6,543738646.6,584878367.3,474029230.7,699740427.6,559903395.3,616913723.8,740854135.8,798798912.2,1626268568,1590780557,1914373674,2700317424,3171773421,3229846259,4537413054,5632926200,4337696318,3544738206,3176480678,3250028934,3609367186,3543198468,3407861593,3763013838,3668399484,3745199600,4101973987,3991794897,4833829915,4843761881,4676422211,5719415708,6714440220,3856065033,3899913957,5468473000,6766779000,6353452000,7391152000,8980930000,10511652000,11581228000,16297620000,16029588000,19501456000,22310355000,24439362000,27080615000,28803239000,26679423000,24963472000,27409223000,28770433000,28006467000,21889374000,23726652000,25590826000
"Egypt, Arab Rep.",,,,,,835517693.3,865314051.4,788589119.9,771962616.8,701210653.8,1174328058,1107625606,1046535677,1332743810,1743195512,3017974573,2880039722,3455007893,4236203760,5800285714,5959224749,7105405405,8006157635,9545983702,10320361213,11621819705,12160898036,10526315789,11584327087,12598099442,12427097712,8873379860,8154545181,9243697479,10705812574,12120318490,12264150943,13775811209,18240850059,19610734297,19521503009,17654986523,15325842697,13557692308,13344155844,16106489185,20121739130,27197898424,36454545455,36297640653,42704174229,40361445783,44733333333,40992248062,41692969871,47061994609,50000000000,42581521739,49127743388,63906605923,61391141609,64429572976,81136778116
Euro area,,,,,,,,,,,1.91E+11,2.09E+11,2.47E+11,3.28E+11,3.71E+11,3.80E+11,4.14E+11,4.57E+11,5.47E+11,6.85E+11,7.86E+11,6.23E+11,5.88E+11,5.54E+11,5.30E+11,5.39E+11,7.54E+11,9.36E+11,1.08E+12,1.14E+12,1.45E+12,1.49E+12,1.58E+12,1.33E+12,1.43E+12,1.68E+12,1.65E+12,1.52E+12,1.62E+12,1.64E+12,1.53E+12,1.52E+12,1.59E+12,1.95E+12,2.26E+12,2.36E+12,2.62E+12,3.11E+12,3.34E+12,2.64E+12,2.66E+12,2.94E+12,2.53E+12,2.59E+12,2.70E+12,2.38E+12,2.48E+12,2.70E+12,3.00E+12,3.07E+12,2.92E+12,3.36E+12,3.42E+12
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37265725.57,79515030.98,133652597.4,130265625,191341419.3,214739093.6,240705983.3,313555607.8,155378670.1,265290933.5,215506767.1,230998362.5,224726745.2,223413431.7,165700468.3,167034491.1,175470861.8,172000487.8,196867869.9,260733665,,,,,,,,,,,
Spain,,,,,,,,,,,11625084383,12154380838,16150315817,22567975443,30977167580,34557182609,33677162397,34920376780,38819118924,50567850768,56730194941,46051295729,44262068757,37145003480,35446399296,37640123288,54608100273,73823410592,95351232681,1.11E+11,1.44E+11,1.50E+11,1.52E+11,1.13E+11,1.15E+11,1.38E+11,1.43E+11,1.33E+11,1.48E+11,1.62E+11,1.59E+11,1.66E+11,1.89E+11,2.50E+11,3.02E+11,3.39E+11,3.85E+11,4.49E+11,4.64E+11,3.48E+11,3.17E+11,3.05E+11,2.44E+11,2.33E+11,2.45E+11,2.27E+11,2.31E+11,2.55E+11,2.91E+11,2.90E+11,2.60E+11,2.97E+11,2.94E+11
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042593279,1105491787,1189285602,1315342697,1583605726,1794399822,1491259583,1619316318,1850229165,2427036828,3475379404,4209349068,4705633628,6780590892,8981428962,7700499487,4124859683,4214855012,5935080053,6757543877,6838620564,7231345952,5744263336,6067152914,7125083318,8583800921,8098344653,9827341102,11287192378,11526581937
Ethiopia,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10259286600,16067394958,16239065384,21129157230,26269302457,27748923384,31435988616,29265695077,33822606653,32920623983,31181473933,32127032221
European Union,,,,,,,,,,,2.18E+11,2.36E+11,2.80E+11,3.69E+11,4.19E+11,4.34E+11,4.73E+11,5.17E+11,6.11E+11,7.66E+11,8.78E+11,6.96E+11,6.55E+11,6.17E+11,5.96E+11,6.10E+11,8.49E+11,1.05E+12,1.21E+12,1.28E+12,1.62E+12,1.64E+12,1.73E+12,1.45E+12,1.56E+12,1.85E+12,1.83E+12,1.70E+12,1.81E+12,1.82E+12,1.72E+12,1.70E+12,1.78E+12,2.19E+12,2.55E+12,2.68E+12,2.99E+12,3.60E+12,3.91E+12,3.05E+12,3.08E+12,3.43E+12,2.97E+12,3.04E+12,3.18E+12,2.81E+12,2.91E+12,3.19E+12,3.55E+12,3.61E+12,3.45E+12,4.01E+12,4.13E+12
Fragile and conflict affected situations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13E+11,84168297607,86601576369,74498752387,69729368696,76527216555,76957483652,85631048770,90250056559,99731206637,1.08E+11,1.15E+11,92452318887,99663229061,1.25E+11,1.62E+11,2.27E+11,2.64E+11,3.29E+11,2.84E+11,3.15E+11,3.27E+11,3.74E+11,4.11E+11,4.33E+11,3.23E+11,3.03E+11,3.19E+11,3.62E+11,4.23E+11,3.80E+11,4.45E+11,
Finland,,,,,,,,,,,3614474802,4001847116,4336854029,6016438463,9201403813,10659903022,9308925989,9375893463,8845327076,12350737292,16762830730,14893910168,15138768965,14473740393,14401464187,15056600153,19160215810,24551602868,31741293532,38083691284,42627896128,30783708278,23713830634,16579577391,20413204326,27303921569,26743463629,27609666705,30848909657,30306419072,30073748209,30022397393,30962811641,38152908867,45163605311,50410537837,52093539589,65508850275,72134672720,54432778796,55079550350,66266813726,60415902506,60607338602,60252824572,50924422654,56039183894,61373318955,69665687488,64693312447,66675697860,71331068101,76662993905
Fiji,,,,,,,,,,,,,,,,,,,,,382901625.4,423810828.6,305110630.2,237556705.9,222890026.9,217848461.2,235244097,188445897.5,142701493.3,158831460.7,190963879.2,217477123.1,195543441.4,261322177.4,246222146.3,270206210,355590394.1,383535075.4,466877500.9,442520784.4,290704093,267767377.3,363894096.7,509397671.8,521811886.9,627126562.3,573706099.8,527417251.4,825249419.6,545942629.2,588425798,793574644.6,686074600.7,1157820838,901212908.7,985111855.3,1001481867,1084438909,1072157550,808139957.3,539329280.8,,
France,15915766344,17045109478,19641270045,22043449321,25839370888,27599817537,30775264699,33290378289,35705843955,40313170874,41853076651,45458742749,56271781534,74636122569,83143753410,89824078323,98512701448,1.05E+11,1.23E+11,1.53E+11,1.81E+11,1.45E+11,1.39E+11,1.22E+11,1.13E+11,1.17E+11,1.68E+11,2.08E+11,2.38E+11,2.49E+11,3.10E+11,3.00E+11,3.08E+11,2.59E+11,2.83E+11,3.28E+11,3.15E+11,2.83E+11,3.11E+11,3.19E+11,3.07E+11,3.05E+11,3.20E+11,3.91E+11,4.64E+11,4.93E+11,5.39E+11,6.43E+11,7.07E+11,5.76E+11,5.81E+11,6.65E+11,6.07E+11,6.27E+11,6.49E+11,5.54E+11,5.59E+11,6.08E+11,6.66E+11,6.65E+11,6.26E+11,7.40E+11,7.41E+11
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244357910.1,266834283.2,328857180.5,303070444.6,297008853.1,471729523.1,349003542.5,387432861.3,578531737.2,751914942.7,651513291.6,402696081.5,455185963.9,407378937.3,637326817.6,580950663.4,634034946,616908067.3,623525798.3,699117746.5,947373103.9,911319986.6,935074545.7,1012229288,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,40200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,103472052.8,122023614.1,207120150,271435334.7,799319771.8,1352228445,2211755207,1631392508,836672266.4,997547761.2,1178533339,1403959668,1266865729,1193231506,1174029464,1402519353,1578084562,865119366.6,1436973513,1101225268,1290288041,1430046526,1254100046,982941200.2,916431396.5,1155568064,1414908674,1638598929,1773534830,1220238888,1112730391,1142565281,1339576918,1474236410,1670290300,2047316982,2483291282,3098743241,3906835324,3389547866,4268820208,4851661132,4630213072,5134543033,6396700777,4204319944,3783962679,3179773083,3248348921,3695291725,3047512950,3394428205,3280113387
United Kingdom,,,,,,,,,,,31896161728,35285813838,39434907964,52394025705,57226441791,57908365406,60659280463,66948270746,83388563539,1.10E+11,1.21E+11,1.05E+11,1.04E+11,1.03E+11,1.02E+11,1.08E+11,1.31E+11,1.69E+11,2.32E+11,2.42E+11,2.53E+11,2.26E+11,2.24E+11,1.97E+11,2.23E+11,2.51E+11,2.68E+11,2.76E+11,3.01E+11,3.04E+11,3.05E+11,2.99E+11,3.26E+11,3.69E+11,4.29E+11,4.55E+11,4.95E+11,5.73E+11,5.13E+11,3.62E+11,4.04E+11,4.23E+11,4.30E+11,4.59E+11,5.40E+11,5.21E+11,4.84E+11,4.92E+11,5.21E+11,5.22E+11,4.67E+11,5.71E+11,5.76E+11
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2377740573,1788079470,863220380.9,162068573.6,66536639.73,108637058.4,606497239.8,626187591.5,981803811.1,740690864.5,812717176.8,976390509.8,967833673,1161326405,1588219950,2136731626,2303034842,3403309405,3542949775,1505848207,2512817875,3354352404,4266624948,3608380678,4478421748,3931977336,4565507188,4432642083,4948786743,4419833073,3779593401,3534296594,5094868528
Ghana,296953717.1,261935590.1,236722538.6,288549366.6,337574744.4,366989971.1,273141390.7,180062556.5,185321117,231406262.5,313771203.3,341295731.1,150074122.9,271390544.3,377639751.6,357446808.5,,,,,,,,152138444.6,303424657.5,431069566.8,537001307.9,529510204.1,587147621,693706293.7,850632253.5,1048510122,821258155.8,1325704110,1304826807,1294262258,1469792498,1709503725,1729061246,1620844518,1195814038,1413725127,1214740847,1750711645,2520325369,3116153160,4691993004,3819572360,4729793543,4280272794,4217954265,5039024414,7002868831,15562795367,14899794723,13752605254,14441450844,12439884298,15242756773,13438267459,13358665328,14685591297,12108374864
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,297881707.3,332015802.9,407400289.8,417894372.4,536216122.2,548819478.3,576407130.2,582318816.4,630941043.7,804891005.3,804068639.1,794906622.3,689263459.2,686974210.5,613233978.6,466231113.9,428903549,744982981.1,753543585.6,573752025.1,1036580258,1471204729,1825847652,1431144976,1392994691,1632051629,1987535943,1967998351,2002947173,2124975227,4527476250,2299346693,2317731054,2652082687,4440249215,4722521400,6328385932
"Gambia, The",,,,,,,3615703.231,4290219.714,4358982.972,4535383.254,3603125.763,3116959.691,4275300.948,6105246.79,5706673.178,9842129.33,13184056.33,18336787.52,39750011.73,60248383.87,64358282.62,55422395.27,48525663.14,40305852.72,32477152.88,34053491.88,30816013.13,37784122.47,43616806.76,57861844.92,70846624.44,140393716.6,177058844.1,39849219.27,34976926.64,54263100.39,57503850.65,41589389.06,41042910.43,38740513.28,35720424.75,76802603.4,42085860.28,48893257.83,137728555.5,142150075.3,165397473.3,160814148.4,164335908.5,186943870.1,214158572.2,181796458.2,295412926.6,202401051.9,204761456.2,280479902.5,369979087.2,345544551.2,348803937.8,399706443.8,498508199.9,595170068.7,773800198.1
Guinea-Bissau,,,,,,,,,,,23283804.99,21991357.14,19954257.14,18670169.49,16609375,16781019.08,18272627.39,22741877.03,26612680.12,25885186.31,31183313.28,39836818.18,46776242.3,37069821.12,52240551.1,50493746.88,30967041.25,61215540.91,73514921.51,83087268.15,73007624.42,79689292.07,109528327,73095426.23,51296142.6,56637302.45,62337371.75,64450241.49,23468019.92,34901788.88,43570130.58,40143976.79,30982312.26,43366580.65,46952160.63,64727840.12,59181629.93,87253097.28,111002564.4,89671345.39,91661404.47,109266879.3,66271658.09,75573586.61,120435517.8,84755163.29,92234659.46,121529169.9,259667588.5,292497178.1,239778931.4,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3243950157,2673043532,3867386600,5439466661,5919873152,6208673452,6844873012,9212387832,6652262608,6248709261,3257009302,1877062876,1711997666,1637322529,1237747685,461288144.5,584627712.4,891944444.6
Greece,714661760.5,1104729628,1221183207,1600108550,2117890648,2679134270,2700018837,2740685076,3237445171,4269900591,4790511364,5547488636,7049193182,10790345224,9697613636,10388490967,11903610075,12207317299,14512801484,17484691812,17397761791,13097195572,16269051020,14157910217,14312500000,14989005675,17101964460,15153228485,20279533990,21263738984,26975621238,29865980557,29532420450,26312174495,26572564607,30758748345,34064330408,32125826781,36360514240,34434796865,33691611529,35019677879,38254183591,55398593780,60981057218,54778679365,71537671401,86521839118,87237819448,60755012294,53441667180,39706105427,29280539398,28535009195,28001349074,23632667841,24794230136,24026625231,27884619942,25526804076,28265513633,38992003000,46907312345
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301715021.3,297376589.7,446880143.3,465815243.9,686150858.5,1007094594,814961511.2,1310491059,1718289377,983120250.3,808039199.7,642248803.3,600528530.1,663160865.8,673416226.2,664365122.1,937250727.2,979746564.6,1078700832,
Guatemala,107500000,96000000,100400000,133300000,166500000,177200000,149600000,188100000,243900000,195700000,244200000,285500000,254800000,351600000,588000000.3,586800000.6,934400000.9,1098200001,1312400001,1293900001,1250000001,1466000101,1232999901,1002000001,1095900000,1117739130,747260274,985480000,1074236641,1136718750,1040626724,1344633397,1913306502,1966079698,2035939770,2206387068,1988632240,2434483566,3373945953,3178976020,3440255150,3676819329,4270367056,4449368850,4995936691,5370374397,6295372451,7106168323,6419172199,4925377878,5761509475,7257425212,7535372955,8396029383,8718991525,9221046126,9156302037,9742121027,10112292816,11058666575,10497335919,14511200248,15827226241
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,48124879.67,44566555.23,32433252.24,29691592.43,31266588.49,47411764.71,54588235.29,64588235.29,51149999.97,51899999.97,60949999.97,52550000,56619047.62,83571428.57,114590909.1,163583333.3,170200000,130800000,104000000,164400000,197600000,178928571.4,120333333.4,104666666.7,120000000,162325581.4,202558139.5,110306112.2,87500000,84448525.74,123468346.8,138587738.8,193329055.2,183584748.8,147241722.3,206558395.8,224722649.6,238884693.9,207515291.8,173674537.4,169443794.3,153616973.6,151474640.9,155687619.6,185496259.6,266716697.9,,,,,,,,,,,,,,,,,
High income,,,,,,,,,,,6.36E+11,6.98E+11,8.18E+11,1.04E+12,1.18E+12,1.17E+12,1.33E+12,1.51E+12,1.84E+12,2.18E+12,2.35E+12,2.32E+12,2.19E+12,2.24E+12,2.46E+12,2.53E+12,3.08E+12,3.60E+12,4.20E+12,4.44E+12,4.90E+12,5.03E+12,5.26E+12,5.17E+12,5.63E+12,6.33E+12,6.35E+12,6.23E+12,6.20E+12,6.53E+12,6.78E+12,6.39E+12,6.43E+12,7.20E+12,8.18E+12,8.82E+12,9.52E+12,1.04E+13,1.09E+13,8.89E+12,9.66E+12,1.07E+13,1.07E+13,1.08E+13,1.12E+13,1.07E+13,1.08E+13,1.15E+13,1.24E+13,1.27E+13,1.22E+13,1.37E+13,
"Hong Kong SAR, China",365711236.5,331860870.9,458628753.9,648130962.5,799769850.4,849738219.9,688272519.7,541452805.6,451430543.5,521694893,775582715.1,1089600564,1337252759,1837559506,2270458272,2305697207,3268227043,4169026169,5261903067,7351479211,10059317067,10850489027,10004914949,7976141864,8182783321,7675512627,9624989321,13196294040,16928260313,18245579547,20901954491,23949299762,29380731426,32796363127,42616749873,49602283744,50790934916,60655120822,48983301773,41408056719,47350418209,43183202436,38561253166,36117507304,37806368772,38238170753,43129658635,45273443926,46138909698,46762730996,54622846723,59999100719,66235353525,66251031460,69432965427,66646241171,69008728139,75315659806,79561523251,66043070902,65476718404,61892656821,53846834864
Honduras,46649999.98,43399999.98,57749999.97,65449999.97,66799999.97,74349999.96,88199999.96,117549999.9,119649999.9,129399999.9,150999999.9,124999999.9,127999410.5,173999933.2,270999999.9,213000000,259000000,385000000,754098062.8,870116115.7,900848310.3,780940217.4,551579059.5,568124354.1,784648678.7,838158726.5,720865755.5,988005721.7,1135837227,953122564.1,1037012273,1050542837,1176539988,1515513375,1601320902,1546829833,1488062829,1691690844,1804779062,2038766042,2032987155,1989374436,1906283920,2080715594,2631127049,2695177312,3094223624,4161454557,5006581143,3004943080,3465623363,4604670279,4551392902,4025606219,4382756281,5269705072,5076952338,5742581766,6395303420,5703216356,4487882850,6835797815,7432109714
Heavily indebted poor countries (HIPC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24158163387,26195036246,21261398410,22980886771,22189312666,23586044077,27958387287,27547730471,32510035636,32832545686,35435575809,33732405984,35568043161,43278501397,51704843827,59951857051,70881423054,87809766780,1.10E+11,1.06E+11,1.24E+11,1.41E+11,1.52E+11,1.78E+11,1.92E+11,1.82E+11,1.82E+11,1.96E+11,2.00E+11,2.10E+11,2.00E+11,2.25E+11,2.38E+11
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3905590229,4925994726,6153973144,5625338001,5041996325,4436828194,4900749657,6551578974,9823954465,11151304108,12042897654,14327135677,17048292666,20806209654,15417103830,12252207288,12329032448,10624493221,11352088297,11095482294,10334092929,10878985459,12147731843,14213280561,14038693245,13895409773,15011039709,18724379149
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461637800,515231000,616783000,846437149.7,499282014,259899986.5,221104391.6,733981709.2,817897082.4,819002692.5,968379300.6,1150500643,567051944.8,509604057.1,589304659.1,845963287.8,694425250,690074423.3,1096370751,851311152.6,1316343816,1462025372,2963430852,2731413817,2400327885,2664693001,2507849279,2075046918,1912328264,2547302844,2632999387,2783420158,3302892147,3780060984,3212646637
