Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,,,,,,,,,,,4771495105,5541740280,7058711828,9517022981,11444997055,10879523584,12248654598,15309730247,16461066995,21696574370,23617236758,19127014861,17519558764,16618430366,16163509387,16964551742,23505006760,29871903570,34140480330,35233812793,44427926903,46746366529,51115807663,48063635396,53086308878,64509635594,62486378997,55780133048,56978190307,56742769391,51151223870,49694720840,50688642611,64017705669,72533785057,75309760548,79396824795,95678567535,1.06E+11,91501841483,88684956533,1.04E+11,98162711032,1.02E+11,1.04E+11,90930239902,96015598611,1.04E+11,1.17E+11,1.13E+11,1.12E+11,1.33E+11,1.29E+11
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2350453172,166000000,-3081180.812,342305576.4,182706300.1,574821699.3,921240790.3,1356585014,1483588091,1213785850,1090038535,1180157125,2156220186,3868976710,5033807522,5501464427,6265075075,7113891890,9132085205,8392809007,9555195614,13367205195,15550273426,19028066816,20698478672,14815475352,9724754159,9962845862,9483495260,9783117647,10103705882,9363411765,9954941176
Burundi,12249999.99,13999999.99,15749999.98,13999999.99,13999999.99,9168592.584,11196571.42,12215999.99,15003428.56,15765714.27,10997714.27,19235428.55,7852571.429,16165996.05,13991111.11,31911111.11,40753623.19,61304333.33,85656666.67,116718888.9,127711111.1,164797777.8,146485555.6,247197418,181346587.6,159400116,139931680.8,255851408.2,162740838.3,183384068.5,164573297.1,168219356.2,115216775.6,108319604.6,64512809.55,63661624.45,71345995.05,59316021,60522706.25,47554830.01,24209416.24,39177455.29,32592024.88,61742809.11,94702564.24,203314580.6,235739746.5,205958654.4,216130404.1,338028850.8,348722170.4,365461625.3,381224683.3,358734736.3,384303953,377554175.4,244282177.6,239839492.9,296149471.1,364028622.9,303282056.1,363979935.1,411434379.7
Belgium,,,,,,,,,,,7920173457,8516198503,9882648703,13174221693,16974109362,17491570692,19183382445,22063809792,26750690406,30192670611,33679664781,23640708388,19891607805,16354968836,16518434097,16371354712,22282198844,29333124797,35480165661,38634424652,49990834138,48081293562,53043104141,49285735774,53905776465,62762999453,60393355049,56354758683,57777617248,58593404930,56316259203,53584708567,53607884006,66685072367,83690121032,91341356616,97862125665,1.16E+11,1.34E+11,1.07E+11,1.11E+11,1.28E+11,1.18E+11,1.17E+11,1.24E+11,1.09E+11,1.15E+11,1.23E+11,1.38E+11,1.34E+11,1.28E+11,1.55E+11,1.60E+11
Benin,25842780.97,25835931.97,26266058.76,29498346.86,26264629.47,25446733.57,26591671.18,36211245.29,40381362.74,41883272.21,38675392.82,34464417.56,54835259.29,65952057.87,101119770.7,130650091.3,116300241.1,133140843.1,149209511.2,225646995.9,212987950.5,202405713.4,349962910.2,189730903.5,134338267.1,93486448.89,179898717.8,201972098.9,253296807,177528296.3,275578111.2,287597352.2,230920741.3,365251641.2,284492910.9,464729080.9,414403513.8,420653283.4,445725934.1,670282050.5,563494395.9,650854247.7,622177156.7,811150266,942072804.9,793769726.7,905533866.7,1337834269,1344875896,1447716825,1488285156,1760394156,1701988708,2361099969,2558279326,2360978318,2396371151,3043370371,3763352166,3688560501,4012092605,5103698476,6356126070
Burkina Faso,28153525.75,30311209.82,33051946.56,34680452.86,39551348.3,36844312.33,34590056.9,36162705.23,38079462.21,45965968.61,47078273.21,71753357.59,99966809.01,139213000.3,191713076.2,217173379.8,223087359.8,221295351.9,270311190.8,286752462.4,291370759.4,250943031.3,314513864.1,274163985,206815794.7,356348081.8,410042091.2,455545229.2,491525524.6,533841904.7,586561317,666059555.6,647923338.1,622610514.1,514877718.5,569307834.6,645207470.4,670460095.5,678072885.7,586276460.1,432512272.5,432164408.1,487267116,732888685.5,845998686.2,1079520489,1055771815,1391777139,1959468055,1889197353,2223149256,2672585708,3096666172,3187632219,2685738502,2296231628,2668768165,3112253498,3454358149,3592901931,,,
Bangladesh,294722550.8,372370589.4,609282225.8,524266062.5,644988995.2,677861868.9,580660081.1,776763927.5,1059300812,1059584250,1020193439,720086513.1,295402700,704516103.3,922776098.4,1195666122,1002743731,1112122954,1533618896,1743936511,2619023882,3473990208,3216616766,2916540404,3118960000,3526884615,3522266667,3759741935,4182467846,4639875610,5200668452,5230560224,5487230032,5952339524,6214296793,7254002500,9626674817,10525081967,11057290749,11649376040,12706579209,13052020015,13320616403,14846735751,16271819263,17937414634,18776485913,20841195821,24009476212,26855385209,30256903105,35273787302,37689468519,42581742409,49406984077,56351741485,80206857918,90907915923,1.02E+11,1.13E+11,1.17E+11,1.29E+11,1.47E+11
Bulgaria,,,,,,,,,,,,,,,,,,,,,6744615385,7051428571,6601333333,5447777778,5842111111,5523578947,7264705882,9246307692,7763176471,7280166667,5279500000,2472983871,2058608247,1655384857,910701107,3366967310,142291245.8,1100762788,2812100188,2704165533,2522850314,3028317281,3367384297,4667575588,6129636432,8285465865,11021142417,14932194542,20116746482,14846670735,11430330102,12331582805,11882090258,11732303253,12293401032,10670483322,10232935084,11753411887,14086183805,14469954782,14317196169,17715297817,18466215678
Bahrain,,,,,,,,,,,,,,,,,,,,,1417352348,1443085642,1322606386,1638031653,1663031917,1301861702,812765957.4,863563829.8,747872340.4,951861702.1,694946808.5,1320212766,1397606383,951861729.6,1093085208,854521342.9,878989437.7,1107712869,1324734175,523404284.3,1502180851,1410106383,2239867021,2628696809,2698404255,4269281915,5623218085,7543191489,8985478723,5997127660,7016250000,6446808511,8654813830,8440930851,8962765957,7927473404,9397765957,11686276596,13330664894,12615265957,12150464894,10052120745,
"Bahamas, The",,,,,,,,,,,,,,,,,,89200000,94400000,146200000,244200000,268800000,338800000,352300000,333700000,444900000,455500000,510100000,,964520000,931270000,913340000,866210000,721660000,842800000,948290000,1100520000,1841400000,2194300000,2209300000,2437900000,2235300000,2150000000,2153100000,2100000000,2688900000,3407700000,3239700000,3100500000,2800300000,2825400000,3039600000,3360000000,3062500000,3505500000,2913400000,3063200000,3419100000,3356600000,3468400000,2387600000,2781400000,2797900000
